New,Score,Title,Company,Location,Contract,Source,Date,Link
,15,HR analyst & project manager (H/F),AIRBUS ATLANTIC,"Vila Nova De Famalicao, Portugal",VIE (12 months),VIE,2026-04-13,https://mon-vie-via.businessfrance.fr/offres/242211
,15,Human Resources Project Manager (H/F),TRANSDEV GROUP,"Berlin, Allemagne",VIE (24 months),VIE,2026-07-09,https://mon-vie-via.businessfrance.fr/offres/244525
,15,Product Owner (H/F),HELLO POMELO,"Barcelone, Espagne",VIE (12 months),VIE,2026-07-08,https://mon-vie-via.businessfrance.fr/offres/244480
,15,PROJECT LEADER (PMO ) - PHARMA (H/F),BAXTER S.A.S,"Bruxelles, Belgique",VIE (24 months),VIE,2026-06-18,https://mon-vie-via.businessfrance.fr/offres/243927
,15,PRODUCT OWNER & COORDINATEUR SUPPORT HF (H/F),EFE INTERNATIONAL,"Barcelone, Espagne",VIE (12 months),VIE,2026-03-24,https://mon-vie-via.businessfrance.fr/offres/238153
,15,SEO & GEO Project Manager (H/F),KWANKO,"Lisbonne, Portugal",VIE (24 months),VIE,2026-06-08,https://mon-vie-via.businessfrance.fr/offres/243635
,15,V.I.E - Sports events project manager (H/F),ODDO BHF SCA,"Francfort, Allemagne",VIE (12 months),VIE,2026-07-01,https://mon-vie-via.businessfrance.fr/offres/244284
,15,PROJECT MANAGER F/H (H/F),SACRED,"Aguascalientes, Mexique",VIE (24 months),VIE,2026-06-30,https://mon-vie-via.businessfrance.fr/offres/244221
,15,PROGRAM MANAGER (H/F),VUSIONGROUP,"Montreal -Qc, Canada",VIE (18 months),VIE,2026-06-29,https://mon-vie-via.businessfrance.fr/offres/244215
,15,Project Manager (H/F),ABYLSEN ST-RA,"Monopoli, Italie",VIE (12 months),VIE,2026-06-26,https://mon-vie-via.businessfrance.fr/offres/244143
,15,CONSULTANT PROJECT MANAGER M/F (H/F),EFE INTERNATIONAL,"Bruxelles, Belgique",VIE (12 months),VIE,2025-11-12,https://mon-vie-via.businessfrance.fr/offres/232755
,15,Chef de Projet – Développement Produits (H/F),WRIGHT & JOHNSON FRANCE,"Weihai, Chine",VIE (12 months),VIE,2026-05-21,https://mon-vie-via.businessfrance.fr/offres/243223
,15,PROJECT MANAGER (H/F),FREMACH DIEPPE,"Izegem, Belgique",VIE (12 months),VIE,2026-05-27,https://mon-vie-via.businessfrance.fr/offres/243318
,15,Group Product Manager - Bring Your Own Cloud,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/8024863/?gh_jid=8024863
,15,Group Product Manager - Threat Detection and Incident Response (Cloud SIEM),Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/7608826/?gh_jid=7608826
,15,Implementation Services Project Manager,Datadog,"Singapore, Singapore",Full-time,Greenhouse,2026-07-13,https://careers.datadoghq.com/detail/7809909/?gh_jid=7809909
,15,Product Manager II - Alerting,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-21,https://careers.datadoghq.com/detail/8076871/?gh_jid=8076871
,15,Product Manager II - Application Performance Monitoring,Datadog,"Paris, France",Full-time,Greenhouse,2026-06-25,https://careers.datadoghq.com/detail/8028422/?gh_jid=8028422
,15,Product Manager II - Application Performance Monitoring,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/8021327/?gh_jid=8021327
,15,Product Manager II - Model Lab,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/7144556/?gh_jid=7144556
,15,"Technical Program Manager 2, Technical Solutions",Datadog,"Boston, Massachusetts, USA; New York, New York, USA; San Francisco, California, USA",Full-time,Greenhouse,2026-07-14,https://careers.datadoghq.com/detail/8030837/?gh_jid=8030837
,15,"AI Product Manager, Professional Services",Stripe,New York/ San Francisco,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8064526
,15,Commercial Solutions Program Manager,Stripe,"Chicago, IL , Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7206336
,15,"Customer Marketing Program Manager, EMEA",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8064069
,15,People Project Manager,Stripe,"US-Remote, Atlanta, Chicago",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8039954
,15,People Solutions Program Manager,Stripe,US-Remote; US-Chicago; US-Atlanta; CA-Toronto,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7594208
,15,"Product Lead, AI",Stripe,"San Francisco, Seattle, New York, Chicago",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7655023
,15,"Product Lead, Connect",Stripe,"San Francisco, New York City, Seattle, US Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7819759
,15,"Product Lead, EMEA Payments",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8027435
,15,"Product Lead, EMEA Payments",Stripe,Dublin,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7768979
,15,"Product Lead, Support Experience",Stripe,"Seattle, Washington, United States",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7869917
,15,"Product Manager, Capital",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7721834
,15,"Product Manager, Cash Platform",Stripe,New York,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8064900
,15,"Product Manager - Compliance, Bridge",Stripe,"New York, San Francisco or Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7979422
,15,"Product Manager, Ecosystem Risk",Stripe,Dublin,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7943244
,15,"Product Manager, Ecosystem Risk",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7947422
,15,"Product Manager, Ecosystem Risk",Stripe,"New-York, Atlanta, Remote, Toronto",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7984866
,15,"Product Manager, E-Invoicing",Stripe,"Dublin, Ireland",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8041655
,15,"Product Manager, Global Marketplaces",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8009671
,15,"Product Manager, Global Payouts – Cross-Border & Enterprise Capabilities",Stripe,"New York, NY",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7994443
,15,"Product Manager, Link - Consumer",Stripe,"SF, SEA, NY, Remote-US",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7392697
,15,"Product Manager, Payments",Stripe,"SF, NY, SEA, Remote-US",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7176530
,15,"Product Manager, Sail Core",Stripe,Toronto,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7913698
,15,"Product Manager, Startup Products",Stripe,"NYC, Chicago, Seattle, San Francisco",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7901987
,15,"Product Manager, Terminal Device Expansion",Stripe,San Francisco,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7927089
,15,Program Manager,Stripe,"New York, NY",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7923047
,15,"Program Manager, Agentic Commerce Go-to-Market",Stripe,"New York, NY; San Francisco, CA; Seattle, WA; Chicago, IL; Atlanta, GA",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8017214
,15,"Program Manager, GTM Planning",Stripe,"US-Chicago, US-Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7656504
,15,"Program Manager, Risk Ops Enablement",Stripe,US-Remote,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7214197
,15,"Project Manager, Global Expansion",Stripe,"SF, SEA, NYC, CHI, US-Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8036325
,15,Technical Program Manager,Stripe,Singapore,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7653021
